idDatosGrasas,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Registro NSF,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max"
1,2.0,680.0,279.0,304.0,1.07,500.0,,,60.0,0.58,,200000.0,5,220
2,1.5,460.0,300.0,304.0,2.6,900.0,0.5,166.0,70.0,3.0,,300000.0,-30,150
3,2.0,460.0,280.0,300.0,10.0,500.0,0.48,,,3.0,,,-10,150
4,2.0,220.0,280.5,300.0,5.0,500.0,0.45,,,3.0,,,-15,150
5,1.5,680.0,295.0,260.0,6.5,620.0,0.48,,50.0,1.45,,,-5,150
6,2.0,680.0,275.0,260.0,6.5,620.0,0.48,,50.0,1.45,,,-5,150
7,1.0,3800.0,320.0,280.0,,500.0,,,40.0,,,,-5,120
8,0.0,800.0,370.0,304.0,1.6,900.0,0.5,166.0,70.0,,,300000.0,-30,150
9,1.0,800.0,312.0,304.0,1.6,900.0,0.5,166.0,70.0,3.0,,300000.0,-30,150
10,1.5,800.0,300.0,304.0,2.6,900.0,0.5,166.0,70.0,3.0,,300000.0,-30,150
11,2.0,800.0,269.0,304.0,1.5,900.0,0.5,166.0,70.0,2.8,,300000.0,-8,150
12,3.0,800.0,248.0,304.0,3.8,900.0,0.5,166.0,70.0,2.4,,300000.0,5,150
13,1.0,460.0,320.0,304.0,0.8,500.0,,,60.0,0.4,,,-20,190
14,2.0,460.0,280.0,304.0,0.8,500.0,,,60.0,0.4,,,-20,190
15,2.0,700.0,280.5,290.0,,315.0,,,60.0,,,,-15,150
16,2.0,,270.0,295.0,5.0,,,,,1.0,,150000.0,-10,150
17,2.0,480.0,275.0,260.0,4.0,250.0,0.6,,40.0,2.0,164358.0,350000.0,-5,180
18,2.0,680.0,280.0,,8.0,800.0,,,,5.0,,,5,210
19,2.0,680.0,240.0,304.0,9.8,315.0,,,40.0,5.0,,,0,240
20,1.2,400.0,300.0,235.0,,250.0,,,,,,,-25,150
21,0.0,220.0,460.0,110.0,,315.0,,,40.0,,,300000.0,-5,160
22,1.0,100.0,320.0,255.0,3.2,250.0,,,40.0,3.0,,900000.0,-10,160
23,2.0,100.0,275.0,255.0,3.2,250.0,,,40.0,3.0,,900000.0,-10,160
24,3.0,100.0,245.0,255.0,3.2,250.0,,,40.0,3.0,,750000.0,-5,160
25,1.0,220.0,315.0,260.0,3.9,300.0,,,40.0,2.5,,500000.0,-5,160
26,2.0,220.0,270.0,270.0,6.3,300.0,,,40.0,2.5,,350000.0,-5,160
27,1.0,100.0,325.0,304.0,1.4,500.0,0.35,,40.0,0.02,154453.0,900000.0,-5,180
28,2.0,100.0,290.0,304.0,1.4,500.0,0.35,,40.0,0.02,154453.0,900000.0,-5,180
29,0.0,3500.0,365.0,140.0,1.6,620.0,0.45,,60.0,,,,-5,150
30,1.0,680.0,310.0,260.0,6.5,620.0,0.48,98.0,50.0,1.45,,200000.0,-10,150
31,1.5,680.0,300.0,260.0,6.5,620.0,0.48,98.0,50.0,1.45,,200000.0,-5,150
32,2.0,680.0,275.0,260.0,6.5,620.0,0.48,98.0,50.0,1.45,,200000.0,-5,150
33,3.0,680.0,230.0,260.0,5.2,620.0,0.48,98.0,50.0,0.32,,200000.0,5,150
34,0.0,120.0,415.0,190.0,11.0,315.0,,,45.0,,,400000.0,-15,110
35,0.0,120.0,370.0,230.0,11.0,315.0,,,45.0,,,400000.0,-15,110
36,1.0,120.0,315.0,235.0,6.2,315.0,,,45.0,2.5,,400000.0,-15,110
37,1.5,120.0,310.0,235.0,5.8,315.0,,,45.0,2.4,,400000.0,-15,110
38,2.0,120.0,276.0,235.0,5.3,315.0,,,45.0,2.4,,400000.0,-15,110
39,3.0,120.0,236.0,250.0,6.0,315.0,,,45.0,3.2,,350000.0,-10,120
40,0.0,1500.0,365.0,304.0,4.4,620.0,0.45,,60.0,3.7,,200000.0,-5,190
41,1.5,1500.0,300.0,304.0,1.0,620.0,0.45,,60.0,0.3,,200000.0,-5,190
42,2.0,1500.0,280.0,304.0,1.0,620.0,0.45,,60.0,0.3,,200000.0,-5,190
43,2.0,320.0,270.0,304.0,2.1,900.0,0.4,,60.0,1.2,,300000.0,-15,150
44,0.0,220.0,360.0,200.0,8.0,315.0,0.5,,45.0,4.0,,,-20,90
45,1.0,220.0,320.0,280.0,5.0,315.0,0.5,,45.0,3.0,,,-20,90
46,2.0,220.0,277.5,280.0,5.0,315.0,0.5,,45.0,3.0,,,-20,90
47,1.0,40.0,325.0,,,250.0,,,,,,1000000.0,-10,160
48,2.0,40.0,280.0,,,250.0,,,,,153194.0,1000000.0,-10,160
49,3.0,40.0,235.0,,,250.0,,,,,,900000.0,-5,160
50,1.0,220.0,320.0,304.0,8.0,315.0,0.5,,40.0,3.0,141297.0,750000.0,-5,160
51,1.5,220.0,300.0,304.0,8.0,315.0,0.5,,40.0,3.0,141298.0,750000.0,-5,160
